,a,c,d,contributorName,owner,repo,userType
0,29,3,3,stojce,jquery,jquery-ui,User
0,31,3,25,pheiberg,jquery,jquery-ui,User
0,31,3,2,marcneuwirth,jquery,jquery-ui,User
0,53,3,52,lukeapage,jquery,jquery-ui,User
0,82,4,32,tomykaira,jquery,jquery-ui,User
0,87,4,88,adambaratz,jquery,jquery-ui,User
0,192,4,138,steveluscher,jquery,jquery-ui,User
0,44,4,4,dcneiner,jquery,jquery-ui,User
0,949,4,239,selfthinker,jquery,jquery-ui,User
0,196,5,3,joshvarner,jquery,jquery-ui,User
0,56,5,17,zhizhangchen,jquery,jquery-ui,User
0,8,5,6,ajpiano,jquery,jquery-ui,User
0,126,5,28,fracmak,jquery,jquery-ui,User
0,212,6,81,danwellman,jquery,jquery-ui,User
0,113926,6,16,mgol,jquery,jquery-ui,User
0,179,6,19,NiGhTTraX,jquery,jquery-ui,User
0,265,7,75,atomiomi,jquery,jquery-ui,User
0,200,7,82,Adovenmuehle,jquery,jquery-ui,User
0,6938,7,6879,treyhunner,jquery,jquery-ui,User
0,123,8,45,btburnett3,jquery,jquery-ui,User
0,230,9,69,dbolter,jquery,jquery-ui,User
0,19,9,16,Krinkle,jquery,jquery-ui,User
0,141,10,83,kzys,jquery,jquery-ui,User
0,284,12,30,maggiewachs,jquery,jquery-ui,User
0,415,14,139,dekajp,jquery,jquery-ui,User
0,234,14,197,aaronchi,jquery,jquery-ui,User
0,710,18,406,hanshillen,jquery,jquery-ui,User
0,625,20,38,bganicky,jquery,jquery-ui,User
0,1583,22,95,1Marc,jquery,jquery-ui,User
0,1198,23,498,davidmurdoch,jquery,jquery-ui,User
0,26619,25,25240,rxaviers,jquery,jquery-ui,User
0,5934,26,5727,apsdehal,jquery,jquery-ui,User
0,2848,44,1657,petersendidit,jquery,jquery-ui,User
0,1549,73,1440,tjvantoll,jquery,jquery-ui,User
0,1877,80,1207,chicheng,jquery,jquery-ui,User
0,13538,107,3681,gnarf,jquery,jquery-ui,User
0,23997,142,11819,kborchers,jquery,jquery-ui,User
0,15557,151,12137,mikesherov,jquery,jquery-ui,User
0,12846,158,5855,eduardolundgren,jquery,jquery-ui,User
0,57314,276,32385,arschmitz,jquery,jquery-ui,User
0,6643,361,4705,fnagel,jquery,jquery-ui,User
0,178720,713,180300,rdworth,jquery,jquery-ui,User
0,122016,1165,159163,jzaefferer,jquery,jquery-ui,User
0,745119,2061,481224,scottgonzalez,jquery,jquery-ui,User
