owner,repo,additions,commits,deletions,weekofyear
IanLunn,Hover,0,0,0,52
JakeWharton,ViewPagerIndicator,0,0,0,52
carrierwaveuploader,carrierwave,0,0,0,52
eczarny,spectacle,1,1,1,52
inconshreveable,ngrok,0,0,0,52
jquery,jquery-ui,54,5,9,52
jschr,bootstrap-modal,0,0,0,52
lebinh,ngxtop,0,0,0,52
madebymany,sir-trevor-js,0,0,0,52
rendrjs,rendr,0,0,0,52
